Tiempo,Fuerza,Ataque,Salida,Verticalidad
19:53:01,23.58,0.0,-62.3,-0.7
19:53:01,55.45,0.0,-61.8,-0.3
19:53:01,85.55,0.0,-68.8,10.1
19:53:01,66.96,0.0,-69.1,13.5
19:53:01,43.53,0.0,-68.4,12.3
19:53:02,35.55,0.0,-57.3,15.4
19:53:02,27.5,0.0,-10.7,-0.1
19:53:02,15.47,45.2,0.0,-3.4
19:53:02,9.66,68.9,0.0,8.9
19:53:02,11.8,0.0,-6.4,40.1
19:53:02,18.66,5.0,0.0,64.3
19:53:02,22.41,0.0,-65.1,2.9
19:53:02,47.48,0.0,-67.6,-4.2
19:53:02,81.08,0.0,-74.7,-1.6
19:53:02,73.25,0.0,-61.9,2.3
19:53:03,50.68,0.0,-77.4,8.4
19:53:03,38.0,0.0,-50.7,18.4
19:53:03,26.93,0.0,-11.1,-0.4
19:53:03,15.4,18.3,0.0,-14.2
19:53:03,10.55,71.7,0.0,13.1
19:53:03,11.6,0.0,-16.5,41.3
19:53:03,16.91,14.6,0.0,70.9
19:53:03,21.03,0.0,-56.2,3.1
19:53:03,41.19,0.0,-62.9,-4.0
19:53:03,76.57,0.0,-67.2,7.2
19:53:04,73.74,0.0,-60.8,10.5
19:53:04,49.48,0.0,-63.6,5.8
19:53:04,37.34,0.0,-60.5,5.5
19:53:04,27.81,0.0,-16.1,-4.9
19:53:04,15.59,14.1,0.0,-14.5
19:53:04,10.01,82.6,0.0,1.6
19:53:04,10.21,0.0,-24.9,34.1
19:53:04,15.31,18.4,0.0,61.0
19:53:04,20.31,0.0,-56.4,5.3
19:53:04,39.75,0.0,-57.6,-3.8
19:53:05,79.87,0.0,-70.8,6.9
19:53:05,79.69,0.0,-57.9,4.9
19:53:05,54.51,0.0,-71.6,-4.9
19:53:05,38.97,0.0,-67.5,9.3
19:53:05,27.15,0.0,-15.3,0.5
19:53:05,14.65,12.1,0.0,-16.7
19:53:05,9.89,69.9,0.0,-2.8
19:53:05,11.34,0.0,-23.1,37.6
19:53:05,16.62,0.0,-6.1,64.8
19:53:06,20.62,0.0,-49.5,5.7
19:53:06,42.83,0.0,-61.8,-3.5
19:53:06,81.88,0.0,-72.7,12.7
19:53:06,74.11,0.0,-61.7,11.0
19:53:06,47.9,0.0,-64.5,13.3
19:53:06,38.17,0.0,-74.5,-0.2
19:53:06,30.24,0.0,-19.8,0.4
19:53:06,17.28,11.0,0.0,-11.8
19:53:06,10.88,69.2,0.0,-4.7
19:53:06,10.73,0.0,-12.8,35.5
19:53:06,15.43,0.0,-8.6,53.8
19:53:07,19.66,0.0,-34.2,-3.9
19:53:07,32.68,0.0,-67.5,-0.5
19:53:07,72.51,0.0,-71.5,5.9
19:53:07,76.54,0.0,-60.8,12.5
19:53:07,51.56,0.0,-67.3,10.0
19:53:07,37.11,0.0,-74.8,3.6
19:53:07,28.67,0.0,-34.2,-1.2
19:53:07,18.79,10.9,0.0,-1.4
19:53:07,12.17,73.1,0.0,-9.9
19:53:08,10.52,0.0,-18.0,26.7
19:53:08,15.26,15.0,0.0,53.6
19:53:08,19.98,0.0,-46.6,-0.0
19:53:08,30.4,0.0,-58.2,-5.5
19:53:08,67.85,0.0,-66.3,-0.1
19:53:08,83.73,0.0,-67.0,10.1
19:53:08,59.77,0.0,-70.2,10.0
19:53:08,40.52,0.0,-73.5,14.3
19:53:08,31.43,0.0,-41.2,-2.3
19:53:08,20.81,0.0,-5.7,-8.9
19:53:09,12.55,54.4,0.0,-16.3
19:53:09,9.66,0.0,-41.7,38.8
19:53:09,13.22,3.3,0.0,50.0
19:53:09,18.46,0.0,-3.7,49.4
19:53:09,23.9,0.0,-58.6,-4.3
19:53:09,55.4,0.0,-61.2,-4.5
19:53:09,87.23,0.0,-62.3,-2.8
19:53:09,70.54,0.0,-66.6,0.9
19:53:09,45.14,0.0,-84.4,3.2
19:53:09,32.17,0.0,-54.2,10.0
19:53:09,20.19,0.0,-12.3,1.2
19:53:10,12.38,34.7,0.0,-17.5
19:53:10,10.18,0.0,-74.4,2.4
19:53:10,12.23,0.0,-21.6,23.4
19:53:10,16.35,0.0,-2.6,60.3
19:53:10,20.01,0.0,-51.6,-3.5
19:53:10,39.83,0.0,-78.6,-1.8
19:53:10,79.86,0.0,-66.2,2.4
19:53:10,75.88,0.0,-59.6,7.3
19:53:10,47.82,0.0,-64.2,10.8
19:53:11,35.9,0.0,-66.1,6.1
19:53:11,28.94,0.0,-16.0,3.1
